순번,이수구분,교과목명,학수번호,학점,이론,설계,실습,실기,이수학년,1학기,2학기,부전공,영어전용트랙,문제해결형교과,교직기본이수교과,PN평가,비고
1,전공기초,미분적분학,AMTH1009,3,3,,,,1,○,,,,○,3,,
2,전공기초,고급미분적분학,AMTH1003,3,3,,,,1,,○,,,○,3,,
3,전공기초,선형대수,AMTH1004,3,3,,,,1,○,,,,○,3,,
4,전공기초,미분방정식,AMTH1001,3,3,,,,1,,○,,,○,3,,
5,전공기초,물리학및실험1,APHY1002,3,2,,2,,1,○,,,,○,3,,
6,전공기초,화학및실험1,APCH1101,3,2,,2,,1,○,,,,○,3,,
7,전공필수,해석학1,AMTH2010,3,3,,,,2,○,,,,○,3,,
8,전공필수,수치해석및연습,AMTH2005,3,3,,,,2,,○,,,○,3,,
9,전공필수,현대대수학Ⅰ,AMTH3013,3,3,,,,3,○,,,,○,3,,
10,전공필수,미분기하학,AMTH3003,3,3,,,,3,○,,,,○,3,,
11,전공필수,졸업논문,AMTH4012,0,0,,,,4,○,○,,,,,○,
12,전공필수,확률통계및응용,AMTH2013,3,3,,,,2,○,,,,○,3,,
13,전공필수,위상수학및응용,AMTH3008,3,3,,,,3,,○,,,,,,
14,전공필수,응용수학캡스톤디자인1,AMTH3021,3,,3,,,3-4,,○,,,,,○,
15,전공선택,응용수학캡스톤디자인2,AMTH3022,3,,3,,,3-4,○,,,,,,○,
16,전공선택,수리프로그래밍,AMTH2004,3,3,,,,2,○,,,,○,3,,
17,전공선택,응용선형대수특강,AMTH1010,3,3,,,,2,○,,,,○,3,,
18,전공선택,응용수학을위한파이썬,AMTH2016,3,3,,,,2,,○,,,○,3,,
19,전공선택,해석학2,AMTH2011,3,3,,,,2,,○,,,,,,
20,전공선택,집합과수론,AMTH2009,3,3,,,,2,,○,,,,,,
21,전공선택,컴퓨터지원기하학적설계,AMTH2014,3,3,,,,2,○,,,,○,3,,
22,전공선택,복소함수및응용,AMTH3029,3,3,,,,3,○,,,,○,3,,
23,전공선택,이산수학,AMTH2015,3,3,,,,2,○,,,,○,3,,
24,전공선택,수치미분방정식,AMTH3006,3,3,,,,3,,○,,,○,3,,
25,전공선택,미분방정식특강,AMTH3004,3,3,,,,2,,○,,,○,3,,
26,전공선택,통계학및응용,AMTH3025,3,3,,,,3,○,,,,,,,
27,전공선택,현대대수학Ⅱ,AMTH3014,3,3,,,,3,,○,,,,,,
28,전공선택,수리통계및응용,AMTH3026,3,3,,,,3,,○,,,,,,
29,전공선택,수치선형대수,AMTH3027,3,3,,,,3,○,,,,,,,
30,전공선택,수리생물학,AMTH3032,3,3,,,,3,○,,,,○,3,,
31,전공선택,편미분방정식,AMTH3028,3,3,,,,4,○,,,,,,,
32,전공선택,독립심화학습1(응용수학과),AMTH3023,3,3,,,,3-4,○,,,,,,○,
33,전공선택,독립심화학습2(응용수학과),AMTH3024,3,3,,,,3-4,,○,,,,,○,
34,전공선택,비선형동역학개론,AMTH4019,3,3,,,,4,○,,,,○,3,,
35,전공선택,수학지도법,AMTH4009,3,3,,,,4,○,,,,,,,
36,전공선택,응용수학특강,AMTH4021,3,3,,,,4,,○,,,,,,
37,전공선택,수리적빅데이터개론,AMTH3031,3,3,,,,3,,○,,,,,,
38,전공선택,양자계산이론입문,AMTH4022,3,3,,,,4,,○,,,,,,
39,전공선택,실해석학,AMTH4010,3,3,,,,3,,○,,,,,,
40,전공선택,기계학습을위한수학,AMTH4007,3,3,,,,4,○,,,,○,3,,
41,전공선택,다변수해석학,AMTH4003,3,3,,,,3,○,,,,,,,
42,전공선택,금융수학,AMTH4002,3,3,,,,4,,○,,,○,3,,
43,전공선택,정보수학,AMTH4015,3,3,,,,4,,○,,,,,,
44,전공선택,확률미분방정식및응용,AMTH4016,3,3,,,,4,○,,,,,,,
45,전공선택,보험수학,AMTH4017,3,3,,,,2,,○,,,,,,
46,전공선택,최적화이론,AMTH4018,3,3,,,,4,○,,,,,,,
47,교직(전선),교과교육론(수학),EDU3137,3,3,,,,3,○,,,,,,,필수
48,교직(전선),교과교재연구및지도법(수학),EDU3138,3,3,,,,3,,○,,,,,,필수
49,교직(전선),교과교수법(수학),EDU3336,3,3,,,,4,○,,,,,,,필수
